ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764309691.2226958,camera,AWAKE_IN_ROOM,0.8
1764309701.0418975,window,23.44,48.86,23.1,49.1
1764309701.2800028,camera,AWAKE_IN_ROOM,0.8
1764309711.0488772,window,23.45,48.88,23.2,49.1
1764309711.2899725,camera,AWAKE_IN_ROOM,0.8
1764309721.054431,window,23.45,48.9,23.2,49.2
1764309721.2938023,camera,AWAKE_IN_ROOM,0.8
1764309731.059842,window,23.46,48.9,23.2,49.0
1764309731.3023129,camera,AWAKE_IN_ROOM,0.8
1764309741.0688293,window,23.47,48.9,23.2,49.0
1764309741.3674703,camera,AWAKE_IN_ROOM,0.8
1764309751.0730567,window,23.47,48.9,23.2,49.1
1764309751.3805008,camera,AWAKE_IN_ROOM,0.8
1764309761.0811071,window,23.47,48.9,23.2,49.1
1764309761.4568858,camera,AWAKE_IN_ROOM,0.8
1764309771.0934563,window,23.48,48.9,23.2,49.1
1764309771.5309722,camera,AWAKE_IN_ROOM,0.8
1764309781.0934532,window,23.48,48.89,23.2,49.0
1764309781.539239,camera,AWAKE_IN_ROOM,0.8
1764309791.1047342,window,23.48,48.86,23.2,48.8
1764309791.621701,camera,AWAKE_IN_ROOM,0.8
1764309801.1069899,window,23.5,48.84,23.2,48.8
1764309801.6298273,camera,AWAKE_IN_ROOM,0.8
1764309811.1131966,window,23.51,48.79,23.2,48.7
1764309811.7036765,camera,AWAKE_IN_ROOM,0.8
1764309821.1187165,window,23.51,48.74,23.2,48.6
1764309821.7571387,camera,AWAKE_IN_ROOM,0.8
1764309831.1207137,window,23.51,48.69,23.2,48.6
1764309831.8148658,camera,AWAKE_IN_ROOM,0.8
1764309841.1345084,window,23.51,48.65,23.2,48.6
1764309841.8965478,camera,AWAKE_IN_ROOM,0.8
1764309851.132163,window,23.51,48.61,23.2,48.6
1764309851.953177,camera,AWAKE_IN_ROOM,0.8
1764309861.151089,window,23.51,48.58,23.2,48.6
1764309861.9643424,camera,AWAKE_IN_ROOM,0.8
1764309871.1449995,window,23.51,48.56,23.2,48.5
1764309872.040119,camera,AWAKE_IN_ROOM,0.8
1764309881.1490936,window,23.5,48.53,23.2,48.6
1764309882.120889,camera,AWAKE_IN_ROOM,0.8
1764309891.1509125,window,23.5,48.51,23.2,48.6
1764309892.1606157,camera,IN_BED_LYING,0.8
1764309901.154264,window,23.5,48.51,23.2,48.7
1764309902.2164965,camera,AWAKE_IN_ROOM,0.8
1764309911.16055,window,23.5,48.51,23.2,48.7
1764309912.2702413,camera,AWAKE_IN_ROOM,0.8
1764309921.1752477,window,23.52,48.52,23.2,48.7
1764309922.2747843,camera,AWAKE_IN_ROOM,0.8
1764309931.1728666,window,23.53,48.52,23.3,48.7
1764309932.290169,camera,IN_BED_LYING,0.8
1764309941.1866467,window,23.54,48.5,23.3,48.7
1764309942.3656495,camera,AWAKE_IN_ROOM,0.8
1764309951.1795518,window,23.54,48.49,23.3,48.6
1764309952.390952,camera,IN_BED_LYING,0.8
1764309961.1859367,window,23.55,48.46,23.3,48.5
1764309962.4361472,camera,AWAKE_IN_ROOM,0.8
1764309971.1905758,window,23.56,48.44,23.3,48.4
1764309972.4382198,camera,IN_BED_LYING,0.8
1764309981.1958299,window,23.56,48.4,23.3,48.5
1764309982.5299346,camera,IN_BED_LYING,0.8
1764309991.2034228,window,23.57,48.37,23.2,48.5
1764309992.6022437,camera,AWAKE_IN_ROOM,0.8
1764310001.2087045,window,23.57,48.36,23.2,48.5
1764310002.6151035,camera,AWAKE_IN_ROOM,0.8
1764310011.219297,window,23.58,48.37,23.2,48.7
1764310012.6843677,camera,AWAKE_IN_ROOM,0.8
1764310021.2215517,window,23.58,48.42,23.2,49.0
1764310022.6948755,camera,AWAKE_IN_ROOM,0.8
1764310031.249775,window,23.57,48.46,23.2,48.9
1764310032.764794,camera,AWAKE_IN_ROOM,0.8
1764310041.231987,window,23.56,48.48,23.2,48.9
